id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,expensive,year_last_sold,month_last_sold,day_last_sold,waterfront_No,waterfront_Yes,roof_type_Asphalt,roof_type_Clay,roof_type_Metal
3009800015.0,502501.0,2.0,1.0,1100.0,4750.0,1.0,0.0,3.0,7.0,1100.0,0.0,1946.0,0.0,98116.0,47.5772,-122.381,1830.0,4750.0,1.0,2015.0,4.0,22.0,1.0,0.0,0.0,1.0,0.0
6189600040.0,443000.0,3.0,1.75,1810.0,7950.0,1.0,0.0,4.0,7.0,1810.0,0.0,1968.0,0.0,98008.0,47.6236,-122.117,1680.0,7725.0,0.0,2014.0,11.0,17.0,1.0,0.0,1.0,0.0,0.0
9834200365.0,607000.0,3.0,2.0,2060.0,4080.0,1.0,0.0,5.0,7.0,1060.0,1000.0,1921.0,0.0,98144.0,47.574,-122.289,1400.0,4080.0,1.0,2014.0,8.0,15.0,1.0,0.0,1.0,0.0,0.0
1959701800.0,2150000.0,3.0,3.5,4660.0,5500.0,2.0,4.0,5.0,10.0,3040.0,1620.0,1909.0,0.0,98102.0,47.6465,-122.319,2980.0,5500.0,1.0,2014.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0
8917100153.0,585000.0,4.0,2.5,2370.0,15200.0,1.0,0.0,3.0,8.0,1660.0,710.0,1975.0,0.0,98052.0,47.6295,-122.089,2360.0,13879.0,1.0,2014.0,9.0,10.0,1.0,0.0,1.0,0.0,0.0
2344300180.0,1030000.0,3.0,2.5,2430.0,10500.0,2.0,1.0,3.0,9.0,2430.0,0.0,1989.0,0.0,98004.0,47.5818,-122.198,3440.0,12842.0,1.0,2014.0,6.0,19.0,1.0,0.0,0.0,1.0,0.0
3216900100.0,315000.0,3.0,2.5,1880.0,7000.0,2.0,0.0,3.0,8.0,1880.0,0.0,1993.0,0.0,98031.0,47.4206,-122.184,1880.0,7000.0,0.0,2014.0,6.0,12.0,1.0,0.0,0.0,0.0,1.0
425000065.0,180000.0,2.0,1.0,1150.0,5695.0,1.0,0.0,4.0,6.0,1150.0,0.0,1958.0,0.0,98056.0,47.4989,-122.171,1150.0,5695.0,0.0,2014.0,10.0,21.0,1.0,0.0,1.0,0.0,0.0
2426069085.0,322500.0,3.0,2.0,1350.0,14200.0,1.0,0.0,3.0,7.0,1350.0,0.0,1989.0,0.0,98019.0,47.7315,-121.972,2100.0,15101.0,0.0,2014.0,5.0,13.0,1.0,0.0,1.0,0.0,0.0
7199350600.0,568500.0,3.0,2.75,2180.0,7519.0,1.0,0.0,4.0,7.0,1310.0,870.0,1981.0,0.0,98052.0,47.6959,-122.125,1510.0,7107.0,1.0,2014.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0
6909700040.0,813000.0,4.0,2.75,3370.0,6675.0,1.0,3.0,4.0,8.0,1920.0,1450.0,1948.0,0.0,98144.0,47.5887,-122.291,2250.0,5550.0,1.0,2014.0,6.0,11.0,1.0,0.0,0.0,1.0,0.0
4147200040.0,1090000.0,5.0,2.25,3650.0,13068.0,1.0,0.0,4.0,10.0,1850.0,1800.0,1976.0,0.0,98040.0,47.5458,-122.231,2760.0,13927.0,1.0,2015.0,4.0,14.0,1.0,0.0,1.0,0.0,0.0
1062100100.0,424000.0,4.0,2.0,2100.0,4857.0,2.0,0.0,3.0,8.0,2100.0,0.0,1965.0,1984.0,98155.0,47.7521,-122.279,1450.0,5965.0,0.0,2014.0,6.0,26.0,1.0,0.0,0.0,0.0,1.0
2124049254.0,235000.0,2.0,1.0,670.0,5600.0,1.0,0.0,3.0,6.0,670.0,0.0,1903.0,0.0,98108.0,47.5498,-122.304,1960.0,7176.0,0.0,2014.0,7.0,17.0,1.0,0.0,1.0,0.0,0.0
6841700100.0,740000.0,3.0,3.5,2420.0,4000.0,2.0,0.0,5.0,9.0,1820.0,600.0,1907.0,0.0,98122.0,47.6054,-122.295,2030.0,4550.0,1.0,2014.0,9.0,29.0,1.0,0.0,1.0,0.0,0.0
7544800195.0,415000.0,1.0,1.0,760.0,3000.0,1.0,0.0,3.0,7.0,760.0,0.0,1900.0,0.0,98122.0,47.6059,-122.303,1270.0,3000.0,0.0,2014.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0
8807810110.0,432000.0,3.0,2.75,2200.0,14925.0,1.0,0.0,3.0,6.0,1100.0,1100.0,1982.0,0.0,98053.0,47.6606,-122.059,1520.0,14212.0,0.0,2014.0,5.0,22.0,1.0,0.0,0.0,0.0,1.0
1126059201.0,1270000.0,5.0,3.25,4410.0,35192.0,2.0,2.0,3.0,12.0,3880.0,530.0,1990.0,0.0,98072.0,47.7522,-122.13,4410.0,59677.0,1.0,2015.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0
1422200090.0,676500.0,3.0,1.75,1300.0,2446.0,1.0,3.0,3.0,8.0,880.0,420.0,1961.0,0.0,98122.0,47.6071,-122.285,2440.0,5051.0,1.0,2014.0,9.0,15.0,1.0,0.0,1.0,0.0,0.0
871000065.0,419000.0,2.0,1.0,720.0,4592.0,1.0,0.0,4.0,6.0,720.0,0.0,1943.0,0.0,98199.0,47.6534,-122.404,1030.0,5816.0,0.0,2014.0,11.0,20.0,1.0,0.0,1.0,0.0,0.0
4054710090.0,650000.0,3.0,2.5,2180.0,37042.0,2.0,0.0,3.0,9.0,2180.0,0.0,1998.0,0.0,98077.0,47.722,-122.026,2880.0,32688.0,1.0,2015.0,3.0,20.0,1.0,0.0,1.0,0.0,0.0
8075400360.0,239000.0,2.0,1.0,1130.0,15190.0,1.0,0.0,4.0,7.0,1130.0,0.0,1954.0,0.0,98032.0,47.3902,-122.283,1490.0,16920.0,0.0,2014.0,8.0,22.0,1.0,0.0,0.0,1.0,0.0
9551202875.0,900000.0,4.0,2.5,2230.0,4372.0,2.0,0.0,5.0,8.0,1540.0,690.0,1935.0,0.0,98103.0,47.6698,-122.334,2020.0,4372.0,1.0,2014.0,7.0,9.0,1.0,0.0,1.0,0.0,0.0
4027700930.0,330000.0,5.0,1.75,2100.0,7347.0,1.0,0.0,3.0,7.0,1070.0,1030.0,1981.0,0.0,98028.0,47.7751,-122.268,2170.0,9418.0,0.0,2015.0,4.0,28.0,1.0,0.0,1.0,0.0,0.0
1535204165.0,510000.0,3.0,1.75,2060.0,58341.0,1.0,4.0,3.0,8.0,1100.0,960.0,1982.0,0.0,98070.0,47.4193,-122.439,1230.0,14904.0,1.0,2014.0,12.0,4.0,1.0,0.0,1.0,0.0,0.0
3303860590.0,465000.0,4.0,2.5,3060.0,6000.0,2.0,0.0,3.0,9.0,3060.0,0.0,2012.0,0.0,98038.0,47.3689,-122.058,3040.0,6000.0,0.0,2014.0,6.0,27.0,1.0,0.0,1.0,0.0,0.0
1925069066.0,1700000.0,3.0,2.75,2810.0,18731.0,2.0,4.0,4.0,10.0,2810.0,0.0,1974.0,0.0,98052.0,47.6361,-122.093,3120.0,14810.0,1.0,2014.0,6.0,23.0,0.0,1.0,0.0,1.0,0.0
6137610540.0,490000.0,3.0,2.25,2550.0,8588.0,1.0,4.0,3.0,9.0,2550.0,0.0,1989.0,0.0,98011.0,47.7711,-122.195,3050.0,8588.0,0.0,2014.0,8.0,27.0,1.0,0.0,0.0,0.0,1.0
2525049263.0,2680000.0,5.0,3.0,4290.0,20445.0,2.0,0.0,4.0,11.0,4290.0,0.0,1985.0,0.0,98039.0,47.6217,-122.239,3620.0,22325.0,1.0,2014.0,7.0,9.0,1.0,0.0,1.0,0.0,0.0
126059310.0,1000000.0,3.0,2.25,3040.0,52302.0,1.0,0.0,3.0,9.0,3040.0,0.0,2005.0,0.0,98072.0,47.7635,-122.112,2070.0,38600.0,1.0,2014.0,11.0,30.0,1.0,0.0,1.0,0.0,0.0
4254000540.0,469950.0,4.0,2.75,2530.0,14178.0,2.0,0.0,3.0,8.0,2530.0,0.0,1997.0,0.0,98019.0,47.737,-121.955,2530.0,14055.0,0.0,2014.0,7.0,8.0,1.0,0.0,1.0,0.0,0.0
5101405067.0,536000.0,3.0,1.75,1300.0,5413.0,1.5,0.0,3.0,7.0,1300.0,0.0,1925.0,1992.0,98115.0,47.6988,-122.32,1590.0,6380.0,1.0,2014.0,5.0,9.0,1.0,0.0,0.0,1.0,0.0
5468000180.0,244950.0,4.0,2.5,1790.0,19177.0,1.0,0.0,4.0,7.0,1790.0,0.0,1966.0,0.0,98030.0,47.3617,-122.172,1760.0,11726.0,0.0,2015.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0
1930301220.0,575000.0,3.0,1.0,1530.0,2400.0,1.0,0.0,4.0,7.0,890.0,640.0,1928.0,0.0,98103.0,47.6543,-122.354,1240.0,2400.0,1.0,2015.0,4.0,17.0,1.0,0.0,1.0,0.0,0.0
9282801450.0,361000.0,5.0,2.75,2380.0,7500.0,1.0,0.0,3.0,7.0,1300.0,1080.0,1984.0,0.0,98178.0,47.5009,-122.235,2400.0,6000.0,0.0,2015.0,3.0,25.0,1.0,0.0,1.0,0.0,0.0
4037000925.0,650000.0,5.0,2.25,2400.0,13450.0,1.0,0.0,5.0,7.0,1200.0,1200.0,1957.0,0.0,98008.0,47.6007,-122.117,1950.0,10361.0,1.0,2015.0,3.0,27.0,1.0,0.0,1.0,0.0,0.0
3336000230.0,230005.0,2.0,1.0,1030.0,6000.0,1.0,0.0,2.0,7.0,830.0,200.0,1951.0,0.0,98118.0,47.5291,-122.268,1770.0,5000.0,0.0,2015.0,3.0,23.0,1.0,0.0,0.0,1.0,0.0
3621059043.0,293000.0,4.0,2.5,3250.0,235063.0,1.0,2.0,3.0,9.0,3250.0,0.0,1973.0,0.0,98092.0,47.2582,-122.113,1600.0,44287.0,0.0,2014.0,5.0,27.0,1.0,0.0,1.0,0.0,0.0
126049231.0,445000.0,3.0,3.0,1970.0,24318.0,1.0,0.0,3.0,8.0,1970.0,0.0,2010.0,0.0,98028.0,47.7651,-122.246,2150.0,14695.0,0.0,2014.0,5.0,16.0,1.0,0.0,1.0,0.0,0.0
3331000220.0,280000.0,4.0,1.5,1940.0,6386.0,1.0,0.0,3.0,7.0,1140.0,800.0,1954.0,0.0,98118.0,47.5533,-122.285,1340.0,6165.0,0.0,2014.0,8.0,14.0,1.0,0.0,1.0,0.0,0.0
3904900230.0,520000.0,3.0,2.25,1850.0,10855.0,1.0,0.0,3.0,8.0,1370.0,480.0,1985.0,0.0,98029.0,47.5696,-122.02,1850.0,8209.0,1.0,2014.0,7.0,16.0,1.0,0.0,0.0,0.0,1.0
525069133.0,780000.0,4.0,3.25,3900.0,40962.0,2.0,0.0,3.0,10.0,3900.0,0.0,1991.0,0.0,98053.0,47.683,-122.063,1730.0,11775.0,1.0,2014.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0
2721049061.0,625000.0,3.0,1.75,3160.0,76230.0,1.0,0.0,4.0,8.0,2160.0,1000.0,1978.0,0.0,98001.0,47.274,-122.287,1990.0,45789.0,1.0,2014.0,7.0,9.0,1.0,0.0,1.0,0.0,0.0
5381000411.0,239950.0,3.0,1.75,1440.0,7200.0,1.0,0.0,3.0,7.0,1440.0,0.0,1986.0,0.0,98188.0,47.4473,-122.284,1640.0,9167.0,0.0,2015.0,4.0,10.0,1.0,0.0,0.0,0.0,1.0
603000150.0,335000.0,3.0,1.5,2040.0,6000.0,1.0,0.0,3.0,7.0,1340.0,700.0,1957.0,0.0,98118.0,47.5218,-122.286,1190.0,6000.0,0.0,2014.0,6.0,16.0,1.0,0.0,0.0,1.0,0.0
3904960690.0,612000.0,3.0,2.5,2120.0,7401.0,2.0,0.0,3.0,8.0,2120.0,0.0,1989.0,0.0,98029.0,47.5781,-122.018,2010.0,7972.0,1.0,2015.0,4.0,17.0,1.0,0.0,1.0,0.0,0.0
7686202730.0,200000.0,2.0,1.0,830.0,8000.0,1.0,0.0,3.0,6.0,830.0,0.0,1954.0,0.0,98198.0,47.4215,-122.318,1300.0,8000.0,0.0,2014.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0
9264910300.0,345000.0,3.0,1.75,3140.0,8571.0,1.0,0.0,4.0,8.0,1670.0,1470.0,1985.0,0.0,98023.0,47.3074,-122.337,2590.0,7949.0,0.0,2014.0,7.0,10.0,1.0,0.0,1.0,0.0,0.0
1437910090.0,520000.0,4.0,2.5,2410.0,6440.0,1.0,0.0,3.0,8.0,1550.0,860.0,1974.0,0.0,98034.0,47.7153,-122.191,2330.0,6938.0,1.0,2015.0,1.0,28.0,1.0,0.0,1.0,0.0,0.0
2652500740.0,855000.0,4.0,2.25,2190.0,4080.0,2.0,0.0,3.0,8.0,1800.0,390.0,1918.0,0.0,98119.0,47.6425,-122.358,2100.0,4080.0,1.0,2014.0,6.0,18.0,1.0,0.0,0.0,1.0,0.0
9274200735.0,567500.0,4.0,1.75,2190.0,5060.0,1.0,0.0,3.0,7.0,1190.0,1000.0,1950.0,0.0,98116.0,47.5846,-122.387,1510.0,4600.0,1.0,2015.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0
1745000090.0,208000.0,3.0,1.5,1210.0,7247.0,1.0,0.0,4.0,7.0,1210.0,0.0,1967.0,0.0,98003.0,47.328,-122.321,1370.0,7869.0,0.0,2014.0,11.0,10.0,1.0,0.0,1.0,0.0,0.0
5101405338.0,452000.0,3.0,1.75,1880.0,16239.0,1.0,0.0,3.0,7.0,880.0,1000.0,1922.0,0.0,98115.0,47.7004,-122.304,1260.0,7528.0,0.0,2014.0,8.0,21.0,1.0,0.0,1.0,0.0,0.0
9348500220.0,555000.0,3.0,3.0,2410.0,12183.0,2.0,0.0,3.0,9.0,2410.0,0.0,1988.0,0.0,98011.0,47.747,-122.177,2540.0,9979.0,1.0,2014.0,7.0,28.0,1.0,0.0,0.0,1.0,0.0
1066600090.0,519000.0,5.0,2.75,2620.0,8861.0,1.0,0.0,5.0,8.0,1350.0,1270.0,1979.0,0.0,98056.0,47.5226,-122.183,1940.0,10800.0,1.0,2014.0,9.0,5.0,1.0,0.0,0.0,1.0,0.0
3331500455.0,474950.0,3.0,2.25,1850.0,2575.0,2.0,0.0,3.0,9.0,1850.0,0.0,2013.0,0.0,98118.0,47.5525,-122.273,1080.0,4120.0,0.0,2014.0,12.0,3.0,1.0,0.0,1.0,0.0,0.0
1427300120.0,419000.0,3.0,2.25,1760.0,16418.0,1.0,0.0,3.0,7.0,1190.0,570.0,1990.0,0.0,98053.0,47.6525,-121.985,2260.0,20747.0,0.0,2015.0,1.0,21.0,1.0,0.0,0.0,0.0,1.0
1861400068.0,390000.0,2.0,1.0,860.0,1800.0,1.0,0.0,3.0,7.0,860.0,0.0,1909.0,0.0,98119.0,47.6334,-122.371,2160.0,3120.0,0.0,2014.0,9.0,11.0,1.0,0.0,1.0,0.0,0.0
4040500100.0,539000.0,7.0,2.25,2620.0,6890.0,2.0,0.0,4.0,7.0,2620.0,0.0,1961.0,0.0,98007.0,47.6123,-122.134,2070.0,7910.0,1.0,2014.0,10.0,20.0,1.0,0.0,1.0,0.0,0.0
6117501250.0,569000.0,4.0,1.75,2400.0,21196.0,1.0,0.0,5.0,8.0,1590.0,810.0,1956.0,0.0,98166.0,47.4282,-122.347,2200.0,19134.0,1.0,2014.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0
9523103990.0,611000.0,3.0,1.0,1850.0,5000.0,1.5,0.0,3.0,7.0,1850.0,0.0,1922.0,0.0,98103.0,47.6727,-122.351,1850.0,5000.0,1.0,2014.0,12.0,8.0,1.0,0.0,0.0,0.0,1.0
3221069054.0,760000.0,3.0,2.5,4040.0,147856.0,2.0,0.0,3.0,9.0,4040.0,0.0,2004.0,0.0,98092.0,47.2711,-122.067,3000.0,125452.0,1.0,2014.0,10.0,28.0,1.0,0.0,1.0,0.0,0.0
