ShooterID,Age,Solo,Fatalities,LocationCrimeRate,ServedMilitary,ServedLawEnforcement,Gender_Male,Ethnicity_White,Motive_Personal Target,Weapon_Handgun,WealthClass_Low,StatedReligion_Undefined,EducationLevel_High School,Motive_Organizational Target,Weapon_Rifle,WealthClass_Middle,StatedReligion_Christian,EducationLevel_Some College,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Hispanic,Motive_Religious,Weapon_Multiple,WealthClass_High,StatedReligion_Muslim,EducationLevel_Graduate
1,18,True,1,31.882047630487584,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,17,True,1,25.48974222821245,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,19,True,2,25.651684593626527,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,21,False,3,35.62717392207385,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,17,True,3,24.05294053566336,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,17,True,2,38.21336476627982,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7,21,True,1,25.496896326760655,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8,19,True,4,33.191959628041914,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9,17,True,1,28.356907621255075,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,19,True,2,33.01593715541171,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11,17,True,2,27.279429989429037,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12,17,True,2,29.18603546963853,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13,18,True,0,30.204595876978605,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,14,False,4,24.989062721092637,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,14,True,1,33.70412172710063,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,16,True,0,27.433932167642073,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,15,True,2,28.857000423299908,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18,18,False,2,25.028253126957438,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19,16,True,3,17.188331706023448,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20,15,True,2,29.044861186999157,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21,20,False,0,42.063077108064576,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,17,False,2,33.92302143949012,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23,18,False,2,29.903698101328025,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
24,15,True,3,28.68554585395866,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,16,True,2,30.11232946406023,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,18,True,2,32.73559557587605,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
27,15,False,0,24.095935923455777,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,18,True,3,35.57160847334436,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
29,16,True,3,33.57690657720622,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30,17,True,4,33.59092862853967,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
31,16,False,0,32.192378694048635,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
32,21,True,4,30.09808328846995,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33,17,True,0,33.3643061798341,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34,15,True,2,32.95907066870689,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
35,19,True,1,28.22979644529488,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36,15,True,2,27.131991135515495,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37,18,True,2,30.509281476309933,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38,14,True,0,37.74510075747594,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
39,15,True,2,23.804464621730496,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
40,18,True,4,22.662373671237802,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41,19,True,1,30.823804206182583,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
42,18,True,2,30.25443850928009,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43,17,True,3,30.86670832185204,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
44,17,True,0,31.219765989542502,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45,15,True,2,28.883988726825976,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
46,16,True,1,37.44931719301041,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
47,17,True,0,21.99548010761742,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48,20,False,1,25.85751487609877,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
49,18,True,3,29.483726199254765,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50,14,False,1,21.784055944229163,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
51,18,True,2,29.120727977839643,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
52,17,True,1,38.30735082864009,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
53,16,False,5,30.10443244147981,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
54,19,True,1,31.153504528593416,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55,20,True,4,23.6991761741371,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
